Data Inclusão,Hora Inclusão,Data Evento,Hora Evento,IMEI,Sequência,Tipo Mensagem,Máscara,Tipo Dispositivo,Versão Protocolo,Versão Firmware,Bateria Interna,Alimentação Externa,Analog Input Mode,Analog Input1 Voltage,Digital Input Status,Digital Output Status,Motion Status,Satélites, Report type, Duração da Ignição,Precisão GNSS,Velocidade,Azimuth,Altitude,Latitude,Longitude,GNSS UTC Time,MCC,MNC,LAC,Cell ID,Hodômetro Atual,Hodômetro Total,Horímetro Atual,Horímetro Total,Motivo Power Off,Motivo Power On, Diferença dos tempos a partir do IGN, Diferença de tempos a partir do IGF, Time fix, 1-wire, ble, RAT, Band
23/04/2025,08:41:35,23/04/2025,08:41:36,8674886293973,0x4e0f,GTERI,0x09fe3fbf,802003,0x0902,0x0915,0,11513,1,-,1,0,21,5,-,-,5,0.0,0,0x0180,-23.328506,-51.178198,07e904170b2922,724,6,c4a7,07a7140c,0x0.0,0x20.2,0x0:00:00,0x0:00:00,-,-, -, -, 2025-04-23 11:41:34,,,,
23/04/2025,08:41:44,04/233/7,23:08:41,8674886293973,0x4e10,GTSPD,0x09fe7fbf,802003,0x0902,0x0915,0,11459,1,0,1,0,22,5,-,5,0.0,0,0x0180,-23.328506,-51.178198,07e904170b292d,724,6,c4a7,07a7140c,0x000000,0x0000001402,0x000000,0x000000000000,-,-,-,-,2025-04-23 11:41:45,,,,,
23/04/2025,08:41:50,23/04/2025,08:41:51,8674886293973,0x4e11,GTERI,0x09fe3fbf,802003,0x0902,0x0915,0,11517,1,-,1,0,22,5,-,-,5,0.0,0,0x0180,-23.328506,-51.178198,07e904170b2931,724,6,c4a7,07a7140c,0x0.0,0x20.2,0x0:00:00,0x0:00:00,-,-, -, -, 2025-04-23 11:41:49,,,,
23/04/2025,08:42:05,23/04/2025,08:42:06,8674886293973,0x4e12,GTERI,0x09fe3fbf,802003,0x0902,0x0915,0,11485,1,-,1,0,22,5,-,-,0,0.0,0,0x0180,-23.328506,-51.178198,07e904170b2931,724,6,c4a7,07a7140c,0x0.0,0x20.2,0x0:00:00,0x0:00:00,-,-, -, -, 2025-04-23 11:41:49,,,,
23/04/2025,08:42:20,23/04/2025,08:42:21,8674886293973,0x4e13,GTERI,0x09fe3fbf,802003,0x0902,0x0915,0,11431,1,-,1,0,22,5,-,-,4,0.0,0,0x0180,-23.328506,-51.178198,07e904170b2a13,724,6,c4a7,07a7140c,0x0.0,0x20.2,0x0:00:00,0x0:00:00,-,-, -, -, 2025-04-23 11:42:19,,,,
23/04/2025,08:42:35,23/04/2025,08:42:36,8674886293973,0x4e14,GTERI,0x09fe3fbf,802003,0x0902,0x0915,0,11508,1,-,1,0,21,5,-,-,0,0.0,0,0x0180,-23.328506,-51.178198,07e904170b2a14,724,6,c4a7,07a7140c,0x0.0,0x20.2,0x0:00:00,0x0:00:00,-,-, -, -, 2025-04-23 11:42:20,,,,
23/04/2025,08:42:50,23/04/2025,08:42:51,8674886293973,0x4e15,GTERI,0x09fe3fbf,802003,0x0902,0x0915,0,11516,1,-,1,0,21,5,-,-,0,0.0,0,0x0180,-23.328506,-51.178198,07e904170b2a14,724,6,c4a7,07a7140c,0x0.0,0x20.2,0x0:00:00,0x0:00:00,-,-, -, -, 2025-04-23 11:42:20,,,,
23/04/2025,08:43:05,23/04/2025,08:43:06,8674886293973,0x4e16,GTERI,0x09fe3fbf,802003,0x0902,0x0915,0,11458,1,-,1,0,21,5,-,-,0,0.0,0,0x0180,-23.328506,-51.178198,07e904170b2a14,724,6,c4a7,07a7140c,0x0.0,0x20.2,0x0:00:00,0x0:00:00,-,-, -, -, 2025-04-23 11:42:20,,,,
23/04/2025,08:43:20,23/04/2025,08:43:21,8674886293973,0x4e18,GTERI,0x09fe3fbf,802003,0x0902,0x0915,0,11458,1,-,1,0,21,5,-,-,0,0.0,0,0x0180,-23.328506,-51.178198,07e904170b2a14,724,6,c4a7,07a7140c,0x0.0,0x20.2,0x0:00:00,0x0:00:00,-,-, -, -, 2025-04-23 11:42:20,,,,
23/04/2025,08:43:35,23/04/2025,08:43:36,8674886293973,0x4e19,GTERI,0x09fe3fbf,802003,0x0902,0x0915,0,11458,1,-,1,0,21,5,-,-,0,0.0,0,0x0180,-23.328506,-51.178198,07e904170b2a14,724,6,c4a7,07a7140c,0x0.0,0x20.2,0x0:00:00,0x0:00:00,-,-, -, -, 2025-04-23 11:42:20,,,,
